행정구역,2017년_총인구수,2017년_세대수,2017년_세대당 인구,2017년_남자 인구수,2017년_여자 인구수,2017년_남여 비율,2018년_총인구수,2018년_세대수,2018년_세대당 인구,2018년_남자 인구수,2018년_여자 인구수,2018년_남여 비율,2019년_총인구수,2019년_세대수,2019년_세대당 인구,2019년_남자 인구수,2019년_여자 인구수,2019년_남여 비율,2020년_총인구수,2020년_세대수,2020년_세대당 인구,2020년_남자 인구수,2020년_여자 인구수,2020년_남여 비율,2021년_총인구수,2021년_세대수,2021년_세대당 인구,2021년_남자 인구수,2021년_여자 인구수,2021년_남여 비율,2022년_총인구수,2022년_세대수,2022년_세대당 인구,2022년_남자 인구수,2022년_여자 인구수,2022년_남여 비율,2023년_총인구수,2023년_세대수,2023년_세대당 인구,2023년_남자 인구수,2023년_여자 인구수,2023년_남여 비율,2024년_총인구수,2024년_세대수,2024년_세대당 인구,2024년_남자 인구수,2024년_여자 인구수,2024년_남여 비율
서울특별시 서울특별시 은평구 (1138000000),"486,794","202,839",2.4,"236,353","250,441",0.94,"483,197","205,001",2.36,"233,702","249,495",0.94,"480,032","207,681",2.31,"231,528","248,504",0.93,"479,835","213,914",2.24,"230,279","249,556",0.92,"473,307","214,711",2.2,"226,458","246,849",0.92,"466,746","213,876",2.18,"222,592","244,154",0.91,"466,770","215,721",2.16,"221,725","245,045",0.9,"460,919","215,305",2.14,"218,214","242,705",0.9
서울특별시 은평구 녹번동(1138051000),"32,645","14,595",2.24,"15,782","16,863",0.94,"34,500","15,627",2.21,"16,604","17,896",0.93,"37,959","17,107",2.22,"18,213","19,746",0.92,"37,396","17,494",2.14,"17,820","19,576",0.91,"36,807","17,601",2.09,"17,434","19,373",0.9,"36,515","17,663",2.07,"17,179","19,336",0.89,"36,111","17,628",2.05,"16,949","19,162",0.88,"35,578","17,481",2.04,"16,578","19,000",0.87
서울특별시 은평구 불광제1동(1138052000),"42,038","17,661",2.38,"20,114","21,924",0.92,"41,260","17,744",2.33,"19,693","21,567",0.91,"40,610","17,896",2.27,"19,298","21,312",0.91,"39,733","17,977",2.21,"18,811","20,922",0.9,"38,518","17,756",2.17,"18,167","20,351",0.89,"38,002","17,753",2.14,"17,903","20,099",0.89,"37,439","17,671",2.12,"17,589","19,850",0.89,"37,311","17,972",2.08,"17,471","19,840",0.88
서울특별시 은평구 불광제2동(1138053000),"29,902","13,576",2.2,"14,626","15,276",0.96,"29,612","13,712",2.16,"14,389","15,223",0.95,"29,249","13,844",2.11,"14,253","14,996",0.95,"28,441","13,962",2.04,"13,804","14,637",0.94,"27,545","13,989",1.97,"13,330","14,215",0.94,"27,036","14,027",1.93,"13,072","13,964",0.94,"26,738","14,076",1.9,"12,850","13,888",0.93,"26,566","14,135",1.88,"12,761","13,805",0.92
서울특별시 은평구 갈현제1동(1138055100),"25,271","11,075",2.28,"12,357","12,914",0.96,"24,899","11,183",2.23,"12,150","12,749",0.95,"24,288","11,203",2.17,"11,860","12,428",0.95,"23,167","11,163",2.08,"11,288","11,879",0.95,"21,876","10,787",2.03,"10,672","11,204",0.95,"16,988","8,555",1.99,"8,304","8,684",0.96,"14,482","7,351",1.97,"7,028","7,454",0.94,"14,180","7,220",1.96,"6,828","7,352",0.93
서울특별시 은평구 갈현제2동(1138055200),"30,523","12,386",2.46,"14,638","15,885",0.92,"30,301","12,593",2.41,"14,477","15,824",0.91,"29,771","12,623",2.36,"14,208","15,563",0.91,"28,885","12,656",2.28,"13,681","15,204",0.9,"28,240","12,650",2.23,"13,379","14,861",0.9,"27,907","12,632",2.21,"13,195","14,712",0.9,"27,441","12,541",2.19,"12,959","14,482",0.89,"27,308","12,753",2.14,"12,846","14,462",0.89
서울특별시 은평구 구산동(1138056000),"33,589","12,551",2.68,"16,842","16,747",1.01,"33,894","12,950",2.62,"16,934","16,960",1,"33,570","13,202",2.54,"16,725","16,845",0.99,"32,749","13,402",2.44,"16,282","16,467",0.99,"32,207","13,325",2.42,"15,777","16,430",0.96,"31,815","13,422",2.37,"15,534","16,281",0.95,"31,453","13,484",2.33,"15,290","16,163",0.95,"31,045","13,499",2.3,"15,048","15,997",0.94
서울특별시 은평구 대조동(1138057000),"32,944","15,743",2.09,"15,610","17,334",0.9,"32,186","15,671",2.05,"15,195","16,991",0.89,"27,522","13,818",1.99,"12,952","14,570",0.89,"27,240","14,324",1.9,"12,700","14,540",0.87,"26,881","14,546",1.85,"12,497","14,384",0.87,"26,542","14,497",1.83,"12,322","14,220",0.87,"27,369","15,352",1.78,"12,635","14,734",0.86,"27,248","15,533",1.75,"12,555","14,693",0.85
서울특별시 은평구 응암제1동(1138058000),"26,130","11,227",2.33,"12,556","13,574",0.93,"25,882","11,280",2.29,"12,451","13,431",0.93,"25,338","11,428",2.22,"12,136","13,202",0.92,"30,963","14,077",2.2,"14,695","16,268",0.9,"32,960","14,952",2.2,"15,617","17,343",0.9,"32,957","15,048",2.19,"15,493","17,464",0.89,"32,658","15,091",2.16,"15,260","17,398",0.88,"32,175","15,059",2.14,"14,974","17,201",0.87
서울특별시 은평구 응암제2동(1138059000),"21,515","8,507",2.53,"10,552","10,963",0.96,"20,878","8,213",2.54,"10,238","10,640",0.96,"25,241","9,981",2.53,"12,348","12,893",0.96,"27,569","11,008",2.5,"13,399","14,170",0.95,"27,912","11,263",2.48,"13,547","14,365",0.94,"27,828","11,249",2.47,"13,488","14,340",0.94,"27,344","11,025",2.48,"13,199","14,145",0.93,"27,142","10,994",2.47,"13,093","14,049",0.93
서울특별시 은평구 응암제3동(1138060000),"26,321","12,362",2.13,"12,918","13,403",0.96,"26,079","12,479",2.09,"12,798","13,281",0.96,"25,700","12,597",2.04,"12,600","13,100",0.96,"25,218","12,770",1.97,"12,320","12,898",0.96,"24,336","12,494",1.95,"11,854","12,482",0.95,"23,960","12,568",1.91,"11,608","12,352",0.94,"23,444","12,511",1.87,"11,297","12,147",0.93,"23,196","12,551",1.85,"11,188","12,008",0.93
서울특별시 은평구 역촌동(1138062500),"50,048","20,597",2.43,"24,014","26,034",0.92,"49,208","20,722",2.37,"23,472","25,736",0.91,"48,071","20,740",2.32,"22,857","25,214",0.91,"46,556","20,859",2.23,"22,002","24,554",0.9,"45,384","20,822",2.18,"21,321","24,063",0.89,"44,589","20,816",2.14,"20,928","23,661",0.88,"43,804","20,641",2.12,"20,502","23,302",0.88,"43,953","20,885",2.1,"20,580","23,373",0.88
서울특별시 은평구 신사제1동(1138063100),"27,936","11,196",2.5,"13,619","14,317",0.95,"28,693","11,668",2.46,"13,918","14,775",0.94,"28,320","11,743",2.41,"13,720","14,600",0.94,"27,547","11,846",2.33,"13,310","14,237",0.93,"27,031","11,896",2.27,"13,035","13,996",0.93,"26,779","11,986",2.23,"12,860","13,919",0.92,"26,472","12,066",2.19,"12,700","13,772",0.92,"26,030","11,973",2.17,"12,416","13,614",0.91
서울특별시 은평구 신사제2동(1138063200),"22,070","8,960",2.46,"11,072","10,998",1.01,"22,086","9,147",2.41,"11,063","11,023",1,"21,727","9,207",2.36,"10,885","10,842",1,"20,805","9,049",2.3,"10,387","10,418",1,"20,211","8,976",2.25,"10,097","10,114",1,"19,370","8,736",2.22,"9,618","9,752",0.99,"18,934","8,718",2.17,"9,386","9,548",0.98,"18,710","8,688",2.15,"9,235","9,475",0.97
서울특별시 은평구 증산동(1138064000),"16,808","6,979",2.41,"8,328","8,480",0.98,"16,297","6,916",2.36,"8,066","8,231",0.98,"16,027","6,907",2.32,"7,884","8,143",0.97,"15,355","6,897",2.23,"7,486","7,869",0.95,"14,909","6,768",2.2,"7,273","7,636",0.95,"18,500","8,003",2.31,"9,027","9,473",0.95,"18,258","7,944",2.3,"8,851","9,407",0.94,"15,850","6,857",2.31,"7,663","8,187",0.94
서울특별시 은평구 수색동(1138065000),"13,706","5,903",2.32,"6,929","6,777",1.02,"11,169","4,831",2.31,"5,593","5,576",1,"8,878","3,832",2.32,"4,440","4,438",1,"11,189","4,785",2.34,"5,529","5,660",0.98,"12,692","5,360",2.37,"6,254","6,438",0.97,"13,137","5,553",2.37,"6,422","6,715",0.96,"20,441","8,252",2.48,"9,934","10,507",0.95,"21,124","8,522",2.48,"10,186","10,938",0.93
서울특별시 은평구 진관동(1138069000),"55,348","19,521",2.84,"26,396","28,952",0.91,"56,253","20,265",2.78,"26,661","29,592",0.9,"57,761","21,553",2.68,"27,149","30,612",0.89,"57,022","21,645",2.63,"26,765","30,257",0.88,"55,798","21,526",2.59,"26,204","29,594",0.89,"54,821","21,368",2.57,"25,639","29,182",0.88,"54,382","21,370",2.54,"25,296","29,086",0.87,"53,503","21,183",2.53,"24,792","28,711",0.86
